Country,Happiness Rank_2015,Happiness Score_2015,Economy (GDP per Capita)_2015,Health (Life Expectancy)_2015,Generosity_2015,Freedom_2015,Trust (Government Corruption)_2015,Happiness Rank_2016,Happiness Score_2016,Economy (GDP per Capita)_2016,Health (Life Expectancy)_2016,Generosity_2016,Freedom_2016,Trust (Government Corruption)_2016,Happiness Rank_2017,Happiness Score_2017,Economy (GDP per Capita)_2017,Health (Life Expectancy)_2017,Generosity_2017,Freedom_2017,Trust (Government Corruption)_2017,Happiness Rank_2018,Happiness Score_2018,Economy (GDP per Capita)_2018,Health (Life Expectancy)_2018,Generosity_2018,Freedom_2018,Trust (Government Corruption)_2018,Happiness Rank_2019,Happiness Score_2019,Economy (GDP per Capita)_2019,Health (Life Expectancy)_2019,Generosity_2019,Freedom_2019,Trust (Government Corruption)_2019,Economic Freedom Rank,Economic Freedom Score
Italy,50,5.9479999999999995,1.25114,0.9544600000000001,0.22823000000000002,0.26236,0.02901,50,5.977,1.35495,0.8510200000000001,0.16684000000000002,0.18827,0.02556,48,5.96400022506714,1.3950666189193701,0.8531443476676941,0.17278964817523998,0.256450712680817,0.0280280914157629,47,6.0,1.264,0.946,0.13699999999999998,0.281,0.027999999999999997,36,6.223,1.294,1.0390000000000001,0.158,0.231,0.03,50,7.51
Bolivia,51,5.89,0.68133,0.5392,0.20536,0.57414,0.08800000000000001,59,5.822,0.79422,0.4697,0.21698,0.50961,0.07746,58,5.82299995422363,0.833756566047668,0.47363024950027505,0.22556072473526,0.5587329268455511,0.0604777261614799,62,5.752000000000001,0.7509999999999999,0.508,0.141,0.606,0.054000000000000006,61,5.779,0.7759999999999999,0.706,0.13699999999999998,0.511,0.064,111,6.3
Moldova,52,5.888999999999999,0.59448,0.61826,0.20951,0.32818,0.01615,55,5.897,0.69177,0.5230899999999999,0.19997,0.25201999999999997,0.019030000000000002,56,5.837999820709231,0.7288706302642819,0.5894652009010309,0.20877912640571603,0.24072904884815197,0.0100912861526012,67,5.64,0.657,0.62,0.171,0.23199999999999998,0.0,71,5.529,0.685,0.7390000000000001,0.18100000000000002,0.245,0.0,76,6.99
Paraguay,53,5.877999999999999,0.75985,0.66098,0.3424,0.53899,0.08242000000000001,70,5.537999999999999,0.8937299999999999,0.58295,0.25296,0.46235,0.07396,70,5.493000030517581,0.932537317276001,0.579250693321228,0.224150657653809,0.473507791757584,0.091065913438797,64,5.681,0.835,0.615,0.162,0.541,0.07400000000000001,63,5.742999999999999,0.855,0.777,0.184,0.514,0.08,65,7.23
Kazakhstan,54,5.855,1.1225399999999999,0.64368,0.11827,0.51649,0.08454,54,5.919,1.22943,0.57386,0.15011,0.4052,0.11132,60,5.8189997673034695,1.2845562696456898,0.6060415506362921,0.20196442306041698,0.43745428323745705,0.11928288638591802,60,5.79,1.143,0.631,0.14800000000000002,0.45399999999999996,0.121,60,5.809,1.173,0.7290000000000001,0.146,0.41,0.096,70,7.12
Slovenia,55,5.848,1.18498,0.8733700000000001,0.25328,0.60855,0.03787,63,5.768,1.2994700000000001,0.79151,0.25738,0.53164,0.03635,62,5.75799989700317,1.3412059545516999,0.7908282279968258,0.242649093270302,0.572575807571411,0.0451289787888527,51,5.9479999999999995,1.219,0.856,0.16,0.633,0.051,44,6.117999999999999,1.258,0.953,0.14400000000000002,0.564,0.057,60,7.33
Lithuania,56,5.832999999999999,1.14723,0.73128,0.026410000000000003,0.21341999999999997,0.01031,60,5.813,1.2692,0.64674,0.02025,0.18929,0.0182,52,5.90199995040894,1.3145823478698702,0.62894994020462,0.010164656676352,0.234231784939766,0.0118656428530812,50,5.952000000000001,1.197,0.716,0.026000000000000002,0.35,0.006,42,6.149,1.238,0.818,0.043,0.29100000000000004,0.042,12,8.1
Nicaragua,57,5.827999999999999,0.59325,0.7431399999999999,0.27815,0.55475,0.19317,48,5.992000000000001,0.69384,0.65213,0.29773,0.46581999999999996,0.16292,43,6.07100009918213,0.737299203872681,0.6530959606170649,0.301674216985703,0.447551846504211,0.130687981843948,41,6.141,0.6679999999999999,0.7,0.20800000000000002,0.527,0.128,45,6.105,0.6940000000000001,0.835,0.2,0.435,0.127,73,7.05
Peru,58,5.824,0.9001899999999999,0.73017,0.14982,0.41496000000000005,0.05989,64,5.742999999999999,0.9960200000000001,0.6299399999999999,0.14527,0.37501999999999996,0.05292,63,5.71500015258789,1.0352252721786501,0.6301661133766171,0.126819714903831,0.45000287890434293,0.0470490865409374,65,5.662999999999999,0.934,0.674,0.092,0.53,0.034,65,5.697,0.96,0.8540000000000001,0.083,0.455,0.027000000000000003,29,7.76
Belarus,59,5.813,1.0319200000000002,0.7360800000000001,0.11045999999999999,0.37938,0.1909,61,5.8020000000000005,1.1306200000000002,0.6310399999999999,0.13942000000000002,0.29091,0.17457,67,5.5689997673034695,1.15655755996704,0.6377142667770389,0.15513750910759,0.295400261878967,0.156313821673393,73,5.483,1.0390000000000001,0.7,0.10099999999999999,0.307,0.154,81,5.3229999999999995,1.067,0.789,0.094,0.235,0.142,109,6.35
